boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max,rejects,err_max,n_debt,n_subfloor,n_guard
192,13,2248,7.956289e-05,5.804765e-03,1.086595e-02,0.000000e+00,0.000000e+00,171,6.259996e-04,0,0,0
193,14,2262,3.369851e-04,5.545472e-03,1.594405e-02,0.000000e+00,0.000000e+00,224,2.609491e-04,0,0,0
194,10,2272,7.438939e-05,5.827100e-03,1.347881e-02,0.000000e+00,0.000000e+00,175,3.725700e-04,0,0,0
195,13,2285,2.530403e-05,5.432111e-03,1.186484e-02,0.000000e+00,0.000000e+00,199,1.028180e-04,0,0,0
196,12,2297,5.517621e-05,5.668596e-03,1.600434e-02,0.000000e+00,0.000000e+00,180,1.646578e-06,0,0,0
197,13,2310,3.666384e-04,5.239866e-03,1.171250e-02,0.000000e+00,0.000000e+00,196,4.146099e-04,0,0,0
198,16,2326,4.512258e-06,5.428583e-03,1.340089e-02,0.000000e+00,0.000000e+00,194,5.222857e-06,0,0,0
199,12,2338,4.415866e-05,5.480965e-03,1.099703e-02,0.000000e+00,0.000000e+00,179,3.228486e-04,0,0,0
200,15,2353,4.298054e-06,5.867758e-03,1.301323e-02,0.000000e+00,0.000000e+00,208,3.943220e-05,0,0,0
201,14,2367,2.157502e-04,5.438609e-03,1.383052e-02,0.000000e+00,0.000000e+00,226,3.051031e-04,0,0,0
202,12,2379,1.359172e-04,5.507688e-03,1.280340e-02,0.000000e+00,0.000000e+00,184,7.562339e-05,0,0,0
203,12,2391,1.953868e-04,5.528587e-03,1.245661e-02,0.000000e+00,0.000000e+00,208,1.527071e-04,0,0,0
204,10,2401,5.292706e-05,5.300632e-03,1.186674e-02,0.000000e+00,0.000000e+00,190,5.407631e-04,0,0,0
205,13,2414,2.438761e-04,5.368243e-03,1.401781e-02,0.000000e+00,0.000000e+00,187,8.146930e-05,0,0,0
206,11,2425,1.385855e-04,5.707836e-03,1.461523e-02,0.000000e+00,0.000000e+00,192,7.811934e-05,0,0,0
207,18,2443,3.217254e-05,5.466073e-03,1.282546e-02,0.000000e+00,0.000000e+00,208,7.257983e-05,0,0,0
208,13,2456,1.401780e-04,5.891905e-03,1.814398e-02,0.000000e+00,0.000000e+00,187,1.907349e-06,0,0,0
209,12,2468,2.163462e-05,5.490213e-03,1.089000e-02,0.000000e+00,0.000000e+00,213,5.900860e-06,0,0,0
