boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max
180,13,2131,1.105053e-03,5.121718e-03,1.265767e-02,0.000000e+00,0.000000e+00
181,14,2145,9.339075e-04,5.090208e-03,1.000000e-02,0.000000e+00,0.000000e+00
182,13,2158,1.231161e-03,5.213163e-03,1.216681e-02,0.000000e+00,0.000000e+00
183,17,2175,1.101395e-03,5.007333e-03,1.000000e-02,0.000000e+00,0.000000e+00
184,16,2191,8.985851e-04,5.110725e-03,1.223847e-02,0.000000e+00,0.000000e+00
185,19,2210,1.048729e-03,5.044252e-03,1.000000e-02,0.000000e+00,0.000000e+00
186,18,2228,1.089707e-03,5.084231e-03,1.384847e-02,0.000000e+00,0.000000e+00
187,15,2243,6.866048e-04,4.982884e-03,9.876003e-03,0.000000e+00,0.000000e+00
188,13,2256,1.119379e-03,5.208199e-03,1.000000e-02,0.000000e+00,0.000000e+00
189,13,2269,1.037615e-03,5.121090e-03,1.077655e-02,0.000000e+00,0.000000e+00
190,11,2280,1.373184e-03,5.344121e-03,1.430844e-02,0.000000e+00,0.000000e+00
191,10,2290,7.219309e-04,5.234429e-03,1.003122e-02,0.000000e+00,0.000000e+00
HIST {'total_samples': 171047, 'floor_samples': 0, 'floor_fraction': 0.0, 'saturation_depth': 0.0, 'boundaries': 192, 'capped_boundaries': 0, 'unfinished_worlds': 0}
192,14,2304,1.490082e-03,5.207244e-03,1.120262e-02,0.000000e+00,0.000000e+00
193,11,2315,1.078935e-03,5.182445e-03,9.715514e-03,0.000000e+00,0.000000e+00
194,13,2328,1.188226e-03,5.398806e-03,1.000000e-02,0.000000e+00,0.000000e+00
195,14,2342,7.594337e-04,5.286543e-03,9.624436e-03,0.000000e+00,0.000000e+00
196,14,2356,1.108188e-03,5.292553e-03,1.028905e-02,0.000000e+00,0.000000e+00
197,14,2370,1.165733e-03,5.102290e-03,1.000000e-02,0.000000e+00,0.000000e+00
198,11,2381,1.702217e-03,5.316121e-03,1.126375e-02,0.000000e+00,0.000000e+00
199,11,2392,1.204442e-03,5.123357e-03,1.000000e-02,0.000000e+00,0.000000e+00
