boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max,rejects,err_max,n_debt,n_subfloor,n_guard,eworld,qmax_i,qmax,ncon
1661,14,21810,1.050051e-03,5.074172e-03,1.000000e-02,0.000000e+00,0.000000e+00,231,3.255988e-04,0,0,0,18,18,1.354842e+03,71843
1662,11,21821,1.216198e-03,5.206623e-03,1.149898e-02,0.000000e+00,0.000000e+00,218,6.087101e-05,0,0,0,153,18,1.356439e+03,71674
1663,12,21833,1.074537e-03,5.157164e-03,9.740567e-03,0.000000e+00,0.000000e+00,231,2.100492e-04,0,0,0,185,18,1.358091e+03,72392
1664,11,21844,1.301721e-03,5.166018e-03,1.162050e-02,0.000000e+00,0.000000e+00,238,9.788770e-05,0,0,0,120,18,1.359728e+03,72067
1665,15,21859,1.174829e-03,5.166147e-03,1.208289e-02,0.000000e+00,0.000000e+00,234,2.978570e-07,0,0,0,144,18,1.361363e+03,72421
1666,15,21874,1.002292e-03,5.173185e-03,1.385776e-02,0.000000e+00,0.000000e+00,219,4.094447e-04,0,0,0,206,18,1.362982e+03,72470
1667,13,21887,1.197518e-03,5.132155e-03,1.000000e-02,0.000000e+00,0.000000e+00,243,5.483549e-05,0,0,0,111,18,1.364637e+03,72805
1668,10,21897,1.300966e-03,5.231754e-03,1.196309e-02,0.000000e+00,0.000000e+00,217,3.960312e-04,0,0,0,111,18,1.366274e+03,72625
1669,14,21911,1.121947e-03,5.128277e-03,1.171236e-02,0.000000e+00,0.000000e+00,229,6.682528e-05,0,0,0,31,18,1.367899e+03,72537
1670,9,21920,1.967722e-03,5.203811e-03,1.447534e-02,0.000000e+00,0.000000e+00,216,3.706013e-04,0,0,0,31,18,1.369537e+03,73034
1671,14,21934,8.310059e-04,5.048288e-03,1.242342e-02,0.000000e+00,0.000000e+00,246,3.261846e-05,0,0,0,121,18,1.371184e+03,72711
1672,11,21945,1.349582e-03,4.964569e-03,1.104067e-02,0.000000e+00,0.000000e+00,237,1.593892e-04,0,0,0,168,18,1.372831e+03,72666
