boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max
265,13,3317,3.309920e-05,5.212556e-03,1.058813e-02,0.000000e+00,0.000000e+00
266,12,3329,8.204952e-05,5.502782e-03,1.547051e-02,0.000000e+00,0.000000e+00
267,18,3347,1.011230e-04,5.442366e-03,1.300740e-02,0.000000e+00,0.000000e+00
268,9,3356,2.255198e-04,5.713428e-03,1.768443e-02,0.000000e+00,0.000000e+00
269,12,3368,8.332543e-05,5.444289e-03,1.182837e-02,0.000000e+00,0.000000e+00
270,12,3380,8.275732e-05,5.551586e-03,1.327323e-02,0.000000e+00,0.000000e+00
271,12,3392,4.735310e-05,5.521573e-03,1.351388e-02,0.000000e+00,0.000000e+00
272,14,3406,2.270378e-04,5.686890e-03,1.250581e-02,0.000000e+00,0.000000e+00
273,13,3419,1.611840e-04,5.435137e-03,1.163275e-02,0.000000e+00,0.000000e+00
274,17,3436,2.169982e-06,5.488674e-03,1.145548e-02,0.000000e+00,0.000000e+00
275,14,3450,1.749443e-04,5.120651e-03,1.475157e-02,0.000000e+00,0.000000e+00
276,18,3468,4.414469e-05,5.437450e-03,1.557788e-02,0.000000e+00,0.000000e+00
277,12,3480,3.245659e-05,5.494727e-03,1.384118e-02,0.000000e+00,0.000000e+00
278,13,3493,6.526709e-05,5.562907e-03,1.484424e-02,0.000000e+00,0.000000e+00
279,15,3508,9.402633e-05,5.280729e-03,1.040393e-02,0.000000e+00,0.000000e+00
280,11,3519,1.081824e-04,5.349104e-03,1.258852e-02,0.000000e+00,0.000000e+00
281,11,3530,7.792376e-05,5.174249e-03,1.111538e-02,0.000000e+00,0.000000e+00
282,15,3545,3.254367e-04,5.553034e-03,1.216280e-02,0.000000e+00,0.000000e+00
283,13,3558,3.493484e-04,5.524038e-03,1.066342e-02,0.000000e+00,0.000000e+00
